Coluna1;Column7;Column8;Column9;Column18
RemoteCall;;;;rcengmgru.exe, rcmgrsvc.exe, rxstartsupport.exe, rcstartsupport.exe, raautoup.exe, agentu.exe, remotesupportplayeru.exe
Royal TS;;;;royalts.exe
Netviewer (GoToMeet);;;;nvClient.exe, netviewer.exe
Action1;https://www.action1.com/;action1_connector.exe;;C:\Windows\Action1\*
HelpU;;;;helpu_install.exe, HelpuUpdater.exe, HelpuManager.exe
Koofr;;;;
AnyViewer;https://www.anyviewer.com/;AnyViewer.exe;AnyViewer;C:\Program Files (x86)\AnyViewer\*
Netop Remote Control (Impero Connect);;;;nhostsvc.exe, nhstw32.exe, ngstw32.exe, Netop Ondemand.exe, nldrw32.exe, rmserverconsolemediator.exe, ImperoInit.exe, Connect.Backdrop.cloud*.exe, ImperoClientSVC.exe
Adobe Connect;;;;ConnectAppSetup*.exe, ConnectShellSetup*.exe, Connect.exe, ConnectDetector.exe
QQ IM-remote assistance;;;;qq.exe, QQProtect.exe, qqpcmgr.exe
Sophos-Remote Management System;;;;clientmrinit.exe, mgntsvc.exe, routernt.exe
Netviewer;;;;netviewer*.exe, netviewer.exe
CruzControl;;;;
Free Tools Launcher;;;;C:\Program Files\ManageEngine\ManageEngine Free Tools\Launcher\*, *\ManageEngine\*
Centurion;;;;ctiserv.exe
Tailscale;;;;tailscale-*.exe, tailscaled.exe, tailscale-ipn.exe
Royal Apps;;;;royalserver.exe, royalts.exe
Solar-PuTTY;;;;C:\Program Files\Solar-Putty-v4\*, *\Solar-Putty-v4\*, *\Solar-PuTTY.exe
ExtraPuTTY;;;;C:\Users\*\ExtraPuTTY-0.30-2016-01-28-installer.exe, *Users\*\ExtraPuTTY-0.30-2016-01-28-installer.exe, *\ExtraPuTTY-0.30-2016-01-28-installer.exe
Alpemix;https://www.alpemix.com/en/Home;Alpemix.exe;Alpemix;C:\AlpemixService.exe, C:\AlpemixSrvc\
Tanium;;;;TaniumClient.exe, TaniumCX.exe, TaniumExecWrapper.exe, TaniumFileInfo.exe, TPowerShell.exe
PSEXEC (Clone);;;;paexec.exe, PAExec-*.exe, csexec.exe , remcom.exe, remcomsvc.exe, xcmd.exe, xcmdsvc.exe
GotoHTTP;;;;GotoHTTP_x64.exe, gotohttp.exe, GotoHTTP*.exe
Xpra;;;;C:\Program Files (x86)\Xpra\*, *\Xpra\*, *\Xpra-Launcher.exe, *\Xpra-x86_64_Setup.exe
Ericom Connect;;;;EricomConnectRemoteHost*.exe, ericomconnnectconfigurationtool.exe
DeskShare;;;;TeamTaskManager.exe, DSGuest.exe
Echoware;;;;echoserver*.exe, echoware.dll
Bitvise SSH Client;;;;C:\Program Files (x86)\Bitvise SSH Client\*, *\Bitvise SSH Client\*, *\BvSshClient-Inst.exe
Encapto;;;;
Synergy;;;;
Remobo;;;;remobo.exe, remobo_client.exe, remobo_tracker.exe
SecureCRT;;;;C:\*\SecureCRT.EXE, *\SecureCRT.EXE, *\VanDyke Software\ClientPack\*
AliWangWang-remote-control;;;;alitask.exe
NTR Remote;;;;NTRsupportPro_EN.exe
PDQ Connect;;;;pdq-connect*.exe
ngrok;;;;ngrok.exe, C:\*\ngrok.zip, *\ngrok*
OCS inventory;;;;ocsinventory.exe, ocsservice.exe
LabTeach (Connectwise Automate);;;;ltsvc.exe
Quest KACE Agent (formerly Dell KACE);;;;konea.exe
BeyondTrust;;;;
Syncro;;;;Syncro.Installer.exe, Kabuto.App.Runner.exe, Syncro.Overmind.Service.exe, Kabuto.Installer.exe, KabutoSetup.exe, Syncro.Service.exe, Kabuto.Service.Runner.exe, Syncro.App.Runner.exe, SyncroLive.Service.exe, SyncroLive.Agent.exe
WinSCP;;;;C:\Users\IEUser\Downloads\WinSCP-5.21.6-Portable\*, *\WinSCP*Portable\*, *\WinSCP.exe, *\WinSCP\*
Ivanti Remote Control;;;;IvantiRemoteControl.exe, ArcUI.exe, AgentlessRC.exe
SpyAnywhere;;;;sysdiag.exe
DesktopNow;;;;desktopnow.exe
Dev Tunnels (aka Visual Studio Dev Tunnel);;;;
rdp2tcp;;;;tdp2tcp.exe, rdp2tcp.py
Netop;;;;C:\Program Files\Danware Data\NetOp Packn Deploy\*, *\Danware Data\NetOp Packn Deploy\*, *\Netop Remote Control\*
Xeox;;;;xeox-agent_x64.exe, xeox_service_windows.exe, xeox-agent_*.exe, xeox-agent_x86.exe
Ericom AccessNow;;;;accessserver*.exe, accessserver.exe
Pocket Controller (Soti Xsight);;;;pocketcontroller.exe, wysebrowser.exe, XSightService.exe
ISL Light;;;;islalwaysonmonitor.exe, isllight.exe, isllightservice.exe
Total Software Deployment;;;;C:\ProgramData\Total Software Deployment\*, *\Total Software Deployment\*, *\tniwinagent.exe, *\Tsdservice.exe
Barracuda;;;;
rdpwrap;;;;RDPWInst.exe, RDPCheck.exe, RDPConf.exe
LogMeIn;https://www.logmein.com/;lmiguardiansvc.exe;;None
Zoho Assist;;;;zaservice.exe, ZMAgent.exe, C:\*\ZA_Access.exe, ZohoMeeting.exe, Zohours.exe, zohotray.exe, ZohoURSService.exe, *\ZA_Access.exe, Zaservice.exe, za_connect.exe, connect.exe
UltraVNC;;;;UltraVNC*.exe
Onionshare;;;;C:\Program Files (x86)\OnionShare\*, *\OnionShare\*, *\onionshare*.exe, OnionShare-win*.msi
ISL Online;;;;islalwaysonmonitor.exe, isllight.exe, isllightservice.exe, ISLLightClient.exe, C:\Program Files (x86)\ISL Online\ISL Light*, *\ISL Online\ISL Light*, *\ISLLight.exe
Connectwise Automate (LabTech);;;;ltsvc.exe, ltsvcmon.exe, lttray.exe
BeAnyWhere;;;;basuptshelper.exe, basupsrvcupdate.exe, BASupApp.exe, BASupSysInf.exe, BASupAppSrvc.exe, TakeControl.exe, BASupAppElev.exe, basupsrvc.exe
Splashtop;;;;C:\Program Files (x86)\Splashtop\*, *\Splashtop\Splashtop Remote\Client for RMM\*, strwinclt.exe
mstsc;;;;C:\Windows\System32\mstsc.exe, *Windows\System32\mstsc.exe
SysAid;;;;C:\Program Files\SysAidServer\*, *\SysAidServer\*, *\SysAid\*, *\IliAS.exe
Remote.it;;;;remote-it-installer.exe, remote.it.exe, remoteit.exe
